cluster,metacluster,subtype,name
0,Tregs,CD4,T-reg
1,unassigned,CD8,T-mixed-1
2,naive,CD8,T-naive
3,unassigned,CD4_CD8,T-mixed-2
4,NKT,NKT,NKT
5,cytotoxic,CD8,T-cytotoxic-1
6,NK_activated,NK,NK-activated
7,cytotoxic,CD8,T-cytotoxic-2
8,cytotoxic,CD8,T-cytotoxic-3
9,CD4_exhausted,CD4,T-Tfh-1
10,NK,NK,NK-1
11,NK,NK,NK-2
13,CD8_exhausted,CD8,T-CD8-exhausted
14,CD4_exhausted,CD4,T-Tfh-2
15,cytotoxic,CD8,T-cytotoxic-4
16,proliferating,CD4_CD8,T-proliferating
17,NK,NK,NK-3
18,unassigned,CD4_CD8,T-mixed-3
19,unassigned,CD4_CD8,T-mixed-4
